timestamp,lat,lon,potato_good,potato_damaged,clod,stone,stick,damage_ratio,rolling_damage_pct,alert_triggered
2026-04-10T14:39:07.117141,41.915216127,25.6926868896,6,1,2,2,1,0.14285714285714285,14.285714285714285,False
2026-04-10T14:39:08.117141,41.9151910214,25.6926770988,7,3,2,1,1,0.3,22.142857142857142,True
2026-04-10T14:39:09.117141,41.9151642434,25.692667752,4,4,2,3,0,0.5,31.428571428571427,True
2026-04-10T14:39:10.117141,41.9151381518,25.6926592488,5,2,3,1,1,0.2857142857142857,30.714285714285715,True
2026-04-10T14:39:11.117141,41.9151123814,25.6926488796,5,2,1,2,1,0.2857142857142857,30.28571428571428,True
2026-04-10T14:39:12.117141,41.9150863249,25.6926398576,5,2,5,1,0,0.2857142857142857,30.0,True
2026-04-10T14:39:13.117141,41.9150600476,25.6926301222,10,0,0,0,2,0.0,25.71428571428571,True
2026-04-10T14:39:14.117141,41.9150343855,25.6926204604,3,1,6,0,1,0.25,25.624999999999996,True
2026-04-10T14:39:15.117141,41.9150079288,25.6926118637,5,0,2,0,1,0.0,22.777777777777775,True
2026-04-10T14:39:16.117141,41.914981759,25.6926024547,4,2,1,2,2,0.3333333333333333,23.833333333333336,True
2026-04-10T14:39:17.117141,41.9149549399,25.6925914305,6,2,2,2,0,0.25,24.904761904761905,True
2026-04-10T14:39:18.117141,41.9149304356,25.6925834871,8,1,0,0,2,0.1111111111111111,23.015873015873016,True
2026-04-10T14:39:19.117141,41.9149041489,25.6925736393,3,3,1,1,1,0.5,23.015873015873016,True
2026-04-10T14:39:20.117141,41.9148775224,25.6925636849,7,1,0,1,0,0.125,21.408730158730158,True
2026-04-10T14:39:21.117141,41.9148520956,25.6925557404,6,0,2,0,1,0.0,18.551587301587304,True
2026-04-10T14:39:22.117141,41.9148255426,25.6925456234,2,1,2,1,0,0.3333333333333333,19.02777777777778,True
2026-04-10T14:39:23.117141,41.9148002371,25.6925352519,4,0,4,2,0,0.0,19.02777777777778,True
2026-04-10T14:39:24.117141,41.9147726674,25.6925268683,2,3,2,0,2,0.6,22.527777777777775,True
2026-04-10T14:39:25.117141,41.9147473858,25.6925164836,7,3,2,2,0,0.3,25.52777777777778,True
2026-04-10T14:39:26.117141,41.9147207281,25.6925086286,9,2,2,0,1,0.18181818181818182,24.012626262626263,True
2026-04-10T14:39:27.117141,41.9146937721,25.6924994068,6,2,0,0,0,0.25,24.012626262626263,True
2026-04-10T14:39:28.117141,41.9146676564,25.6924887464,8,0,1,0,0,0.0,22.90151515151515,True
2026-04-10T14:39:29.117141,41.9146423038,25.6924795848,5,0,0,3,1,0.0,17.901515151515152,True
2026-04-10T14:39:30.117141,41.9146168848,25.6924702503,6,1,1,1,1,0.14285714285714285,18.08008658008658,True
2026-04-10T14:39:31.117141,41.9145904471,25.6924616909,2,3,5,2,1,0.6,24.08008658008658,True
2026-04-10T14:39:32.117141,41.9145645122,25.6924510316,8,2,4,0,0,0.2,22.746753246753247,True
2026-04-10T14:39:33.117141,41.91453867,25.6924422624,4,4,2,0,0,0.5,27.746753246753247,True
2026-04-10T14:39:34.117141,41.9145117543,25.6924335541,3,4,2,4,0,0.5714285714285714,27.46103896103896,True
2026-04-10T14:39:35.117141,41.9144862353,25.6924224723,4,2,1,1,1,0.3333333333333333,27.794372294372295,True
2026-04-10T14:39:36.117141,41.9144598252,25.6924138422,4,2,1,0,0,0.3333333333333333,29.309523809523807,True
2026-04-10T14:39:37.117141,41.914433356,25.6924050633,5,0,0,1,1,0.0,26.809523809523807,True
2026-04-10T14:39:38.117141,41.9144076241,25.6923958635,7,0,0,0,0,0.0,26.809523809523807,True
2026-04-10T14:39:39.117141,41.9143812751,25.6923860437,9,0,0,2,0,0.0,26.809523809523807,True
2026-04-10T14:39:40.117141,41.9143547826,25.6923758202,7,2,0,0,2,0.2222222222222222,27.6031746031746,True
2026-04-10T14:39:41.117141,41.9143282542,25.6923675795,6,0,3,1,0,0.0,21.603174603174608,True
2026-04-10T14:39:42.117141,41.9143029504,25.6923576799,3,1,3,0,0,0.25,22.103174603174605,True
2026-04-10T14:39:43.117141,41.9142770331,25.6923477119,6,4,1,2,0,0.4,21.103174603174605,True
